行番号	アクセス修飾子	クラス名	メソッド名	仮引数の変数名リスト	可変長引数があるか	型パラメータリスト	型パラメータ記号リスト	定数名	引数の個数	引数の型リスト	戻り値の型
00010-00260	public	org.chasen.mecab.MeCabJNI	Path_cost_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	int
00010-00261	public	org.chasen.mecab.MeCabJNI	notifyAll		false			N/A	0		void
00010-00262	public	org.chasen.mecab.MeCabJNI	Node_rlength_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00263	public	org.chasen.mecab.MeCabJNI	Lattice_feature_constraint	arg0,arg1,arg2	false			N/A	3	long,org.chasen.mecab.Lattice	java.lang.String
00010-00264	public	org.chasen.mecab.MeCabJNI	MECAB_ALL_MORPHS_get		false			N/A	0		int
00010-00265	public	org.chasen.mecab.MeCabJNI	VERSION_get		false			N/A	0		java.lang.String
00010-00266	public	org.chasen.mecab.MeCabJNI	MECAB_ONE_BEST_get		false			N/A	0		int
00010-00267	public	org.chasen.mecab.MeCabJNI	Lattice_boundary_constraint	arg0,arg1,arg2	false			N/A	3	long,org.chasen.mecab.Lattice	int
00010-00268	public	org.chasen.mecab.MeCabJNI	new_Model__SWIG_0	arg0	false			N/A	1	java.lang.String	long
00010-00269	public	org.chasen.mecab.MeCabJNI	new_Model__SWIG_1		false			N/A	0		long
00010-00270	public	org.chasen.mecab.MeCabJNI	Node_cost_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00271	public	org.chasen.mecab.MeCabJNI	Node_isbest_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	short
00010-00272	public	org.chasen.mecab.MeCabJNI	Lattice_set_theta	arg0,arg1,arg2	false			N/A	3	float,long,org.chasen.mecab.Lattice	void
00010-00273	public	org.chasen.mecab.MeCabJNI	Model_dictionary_info	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Model	long
00010-00274	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_filename_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	java.lang.String
00010-00275	public	org.chasen.mecab.MeCabJNI	Lattice_next	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	boolean
00010-00276	public	org.chasen.mecab.MeCabJNI	Tagger_formatNode	arg0,arg1,arg2,arg3	false			N/A	4	long,org.chasen.mecab.Node,org.chasen.mecab.Tagger	java.lang.String
00010-00277	public	org.chasen.mecab.MeCabJNI	Model_lookup	arg0,arg1,arg2,arg3,arg4,arg5	false			N/A	6	java.lang.String,long,org.chasen.mecab.Lattice,org.chasen.mecab.Model	long
00010-00278	public	org.chasen.mecab.MeCabJNI	Node_beta_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	float
00010-00279	public	org.chasen.mecab.MeCabJNI	MECAB_UNK_NODE_get		false			N/A	0		int
00010-00280	public	org.chasen.mecab.MeCabJNI	Lattice_Z	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	double
00010-00281	public	org.chasen.mecab.MeCabJNI	MECAB_EOS_NODE_get		false			N/A	0		int
00010-00282	public	org.chasen.mecab.MeCabJNI	Tagger_lattice_level	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	int
00010-00283	public	org.chasen.mecab.MeCabJNI	Model_transition_cost	arg0,arg1,arg2,arg3	false			N/A	4	int,long,org.chasen.mecab.Model	int
00010-00284	public	org.chasen.mecab.MeCabJNI	Tagger_parse__SWIG_2	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Tagger	java.lang.String
00010-00285	public	org.chasen.mecab.MeCabJNI	Tagger_all_morphs	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	boolean
00010-00286	public	org.chasen.mecab.MeCabJNI	Lattice_set_boundary_constraint	arg0,arg1,arg2,arg3	false			N/A	4	int,long,org.chasen.mecab.Lattice	void
00010-00287	public	org.chasen.mecab.MeCabJNI	Tagger_parse__SWIG_1	arg0,arg1,arg2,arg3	false			N/A	4	long,org.chasen.mecab.Lattice,org.chasen.mecab.Tagger	boolean
00010-00288	public	org.chasen.mecab.MeCabJNI	Tagger_parse__SWIG_0	arg0,arg1,arg2,arg3	false			N/A	4	long,org.chasen.mecab.Lattice,org.chasen.mecab.Model	boolean
00010-00289	public	org.chasen.mecab.MeCabJNI	Node_next_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00290	public	org.chasen.mecab.MeCabJNI	Lattice_what	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	java.lang.String
00010-00291	public	org.chasen.mecab.MeCabJNI	Path_prob_set	arg0,arg1,arg2	false			N/A	3	float,long,org.chasen.mecab.Path	void
00010-00292	public	org.chasen.mecab.MeCabJNI	MECAB_ANY_BOUNDARY_get		false			N/A	0		int
00010-00293	public	org.chasen.mecab.MeCabJNI	Node_surface_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	java.lang.String
00010-00294	public	org.chasen.mecab.MeCabJNI	Tagger_set_request_type	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Tagger	void
00010-00295	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_type_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	int
00010-00296	public	org.chasen.mecab.MeCabJNI	MECAB_NOR_NODE_get		false			N/A	0		int
00010-00297	public	org.chasen.mecab.MeCabJNI	new_DictionaryInfo		false			N/A	0		long
00010-00298	public	org.chasen.mecab.MeCabJNI	Path_prob_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	float
00010-00299	public	org.chasen.mecab.MeCabJNI	Path_rnext_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	long
00010-00300	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_version_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	int
00010-00301	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_next_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	long
00010-00302	public	org.chasen.mecab.MeCabJNI	Tagger_create__SWIG_0	arg0,arg1	false			N/A	2	int,long	long
00010-00303	public	org.chasen.mecab.MeCabJNI	Tagger_create__SWIG_1	arg0	false			N/A	1	java.lang.String	long
00010-00304	public	org.chasen.mecab.MeCabJNI	getClass		false			N/A	0		java.lang.Class<?>
00010-00305	public	org.chasen.mecab.MeCabJNI	Model_createLattice	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Model	long
00010-00306	public	org.chasen.mecab.MeCabJNI	Tagger_set_lattice_level	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Tagger	void
00010-00307	public	org.chasen.mecab.MeCabJNI	toString		false			N/A	0		java.lang.String
00010-00308	public	org.chasen.mecab.MeCabJNI	Lattice_remove_request_type	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Lattice	void
00010-00309	public	org.chasen.mecab.MeCabJNI	Tagger_parseNBest	arg0,arg1,arg2,arg3	false			N/A	4	java.lang.String,long,org.chasen.mecab.Tagger	java.lang.String
00010-00310	public	org.chasen.mecab.MeCabJNI	MECAB_BOS_NODE_get		false			N/A	0		int
00010-00311	public	org.chasen.mecab.MeCabJNI	Node_alpha_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	float
00010-00312	public	org.chasen.mecab.MeCabJNI	Path_lnode_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	long
00010-00313	public	org.chasen.mecab.MeCabJNI	equals	arg0	false			N/A	1	java.lang.Object	boolean
00010-00314	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_rsize_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	long
00010-00315	public	org.chasen.mecab.MeCabJNI	Node_length_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00316	public	org.chasen.mecab.MeCabJNI	new_Lattice		false			N/A	0		long
00010-00317	public	org.chasen.mecab.MeCabJNI	Node_bnext_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00318	public	org.chasen.mecab.MeCabJNI	Tagger_parseToString__SWIG_1	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Tagger	java.lang.String
00010-00319	public	org.chasen.mecab.MeCabJNI	Tagger_parseToString__SWIG_0	arg0,arg1,arg2,arg3	false			N/A	4	java.lang.String,long,org.chasen.mecab.Tagger	java.lang.String
00010-00320	public	org.chasen.mecab.MeCabJNI	Tagger_nextNode	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	long
00010-00321	public	org.chasen.mecab.MeCabJNI	Lattice_size	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	long
00010-00322	public	org.chasen.mecab.MeCabJNI	Tagger_version		false			N/A	0		java.lang.String
00010-00323	public	org.chasen.mecab.MeCabJNI	Lattice_newNode	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	long
00010-00324	public	org.chasen.mecab.MeCabJNI	MECAB_USR_DIC_get		false			N/A	0		int
00010-00325	public	org.chasen.mecab.MeCabJNI	Lattice_set_request_type	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Lattice	void
00010-00326	public	org.chasen.mecab.MeCabJNI	Lattice_set_sentence	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Lattice	void
00010-00327	public	org.chasen.mecab.MeCabJNI	MECAB_EON_NODE_get		false			N/A	0		int
00010-00328	public	org.chasen.mecab.MeCabJNI	Lattice_request_type	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	int
00010-00329	public	org.chasen.mecab.MeCabJNI	notify		false			N/A	0		void
00010-00330	public	org.chasen.mecab.MeCabJNI	wait	arg0	false			N/A	1	long	void
00010-00331	public	org.chasen.mecab.MeCabJNI	wait	arg0,arg1	false			N/A	2	int,long	void
00010-00332	public	org.chasen.mecab.MeCabJNI	wait		false			N/A	0		void
00010-00333	public	org.chasen.mecab.MeCabJNI	delete_Lattice	arg0	false			N/A	1	long	void
00010-00334	public	org.chasen.mecab.MeCabJNI	Lattice_bos_node	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	long
00010-00335	public	org.chasen.mecab.MeCabJNI	MECAB_ALLOCATE_SENTENCE_get		false			N/A	0		int
00010-00336	public	org.chasen.mecab.MeCabJNI	Node_posid_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00337	public	org.chasen.mecab.MeCabJNI	Tagger_next	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	java.lang.String
00010-00338	public	org.chasen.mecab.MeCabJNI	Tagger_request_type	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	int
00010-00339	public	org.chasen.mecab.MeCabJNI	Model_create__SWIG_1	arg0	false			N/A	1	java.lang.String	long
00010-00340	public	org.chasen.mecab.MeCabJNI	Model_create__SWIG_0	arg0,arg1	false			N/A	2	int,long	long
00010-00341	public	org.chasen.mecab.MeCabJNI	Lattice_clear	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	void
00010-00342	public	org.chasen.mecab.MeCabJNI	Node_enext_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00343	public	org.chasen.mecab.MeCabJNI	Node_wcost_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	short
00010-00344	public	org.chasen.mecab.MeCabJNI	MECAB_TOKEN_BOUNDARY_get		false			N/A	0		int
00010-00345	public	org.chasen.mecab.MeCabJNI	Tagger_set_theta	arg0,arg1,arg2	false			N/A	3	float,long,org.chasen.mecab.Tagger	void
00010-00346	public	org.chasen.mecab.MeCabJNI	Lattice_has_request_type	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Lattice	boolean
00010-00347	public	org.chasen.mecab.MeCabJNI	Node_lcAttr_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00348	public	org.chasen.mecab.MeCabJNI	Node_rcAttr_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	int
00010-00349	public	org.chasen.mecab.MeCabJNI	Lattice_add_request_type	arg0,arg1,arg2	false			N/A	3	int,long,org.chasen.mecab.Lattice	void
00010-00350	public	org.chasen.mecab.MeCabJNI	Lattice_sentence	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	java.lang.String
00010-00351	public	org.chasen.mecab.MeCabJNI	Tagger_theta	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	float
00010-00352	public	org.chasen.mecab.MeCabJNI	Lattice_has_constraint	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	boolean
00010-00353	public	org.chasen.mecab.MeCabJNI	Node_feature_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	java.lang.String
00010-00354	public	org.chasen.mecab.MeCabJNI	MECAB_ALTERNATIVE_get		false			N/A	0		int
00010-00355	public	org.chasen.mecab.MeCabJNI	MECAB_NBEST_get		false			N/A	0		int
00010-00356	public	org.chasen.mecab.MeCabJNI	MECAB_MARGINAL_PROB_get		false			N/A	0		int
00010-00357	public	org.chasen.mecab.MeCabJNI	Lattice_toString__SWIG_0	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	java.lang.String
00010-00358	public	org.chasen.mecab.MeCabJNI	Lattice_toString__SWIG_1	arg0,arg1,arg2,arg3	false			N/A	4	long,org.chasen.mecab.Lattice,org.chasen.mecab.Node	java.lang.String
00010-00359	public	org.chasen.mecab.MeCabJNI	Path_rnode_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	long
00010-00360	public	org.chasen.mecab.MeCabJNI	Path_lnext_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Path	long
00010-00361	public	org.chasen.mecab.MeCabJNI	Tagger_what	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	java.lang.String
00010-00362	public	org.chasen.mecab.MeCabJNI	Node_rpath_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00363	public	org.chasen.mecab.MeCabJNI	Tagger_set_partial	arg0,arg1,arg2	false			N/A	3	boolean,long,org.chasen.mecab.Tagger	void
00010-00364	public	org.chasen.mecab.MeCabJNI	Model_version		false			N/A	0		java.lang.String
00010-00365	public	org.chasen.mecab.MeCabJNI	Node_id_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00366	public	org.chasen.mecab.MeCabJNI	delete_DictionaryInfo	arg0	false			N/A	1	long	void
00010-00367	public	org.chasen.mecab.MeCabJNI	MECAB_UNK_DIC_get		false			N/A	0		int
