artifactId	junit	version	4.11
artifactId	kuromoji-ipadic	version	0.9.0
artifactId	selenium-java	version	3.141.59
artifactId	spring-boot-starter-web	-	-
artifactId	spring-boot-starter-websocket	-	-
artifactId	commons-lang3	version	3.10
artifactId	htmlcleaner	version	2.23
artifactId	icu4j	version	66.1
artifactId	icu4j	version	67.1
artifactId	javafaker	version	0.15
artifactId	javassist	version	3.12.1.GA
artifactId	json	version	20190722
artifactId	jsoup	version	1.12.2
artifactId	junit	version	4.11
artifactId	kuromoji-jumandic	version	0.9.0
artifactId	lucene-core	version	8.5.1
artifactId	pdfbox	version	2.0.19
artifactId	spring-boot-starter-test	-	-
artifactId	tablesaw-core	version	0.38.0
artifactId	webjars-locator-core	-	-
artifactId	commons-lang3	-	-
artifactId	guava	version	28.2-jre
artifactId	javaslang	version	2.0.6
artifactId	kuromoji-naist-jdic	version	0.9.0
artifactId	lucene-analyzers-common	version	8.5.1
artifactId	sockjs-client	version	1.0.2
artifactId	commons-codec	-	-
artifactId	jmxtools	version	1.2.1
artifactId	kuromoji-unidic	version	0.9.0
artifactId	lucene-spellchecker	version	3.6.2
artifactId	stomp-websocket	version	2.3.3
artifactId	bootstrap	version	3.3.7
artifactId	jms	version	1.1
artifactId	kuromoji-unidic-kanaaccent	version	0.9.0
artifactId	jquery	version	3.1.1-1
artifactId	spring-boot-starter-test	-	-
