grp	subgrp	label	value
0	0	01-title	Perlゴルフの備忘録
0	0	02-titleUrlName	https://qiita.com/morioprog/items/712adf79d8b36041150a
0	0	03-tag	Perl
0	0	04-tagUrlName	https://qiita.com/tags/perl
0	1	03-tag	コードゴルフ
0	1	04-tagUrlName	https://qiita.com/tags/%e3%82%b3%e3%83%bc%e3%83%89%e3%82%b4%e3%83%ab%e3%83%95
0	2	03-tag	ショートコーディング
0	2	04-tagUrlName	https://qiita.com/tags/%e3%82%b7%e3%83%a7%e3%83%bc%e3%83%88%e3%82%b3%e3%83%bc%e3%83%87%e3%82%a3%e3%83%b3%e3%82%b0
1	0	01-title	ライブラリやツールなどを導入するにあたっての選定の仕方
1	0	02-titleUrlName	https://qiita.com/hiesiea/items/726394c738d239307f26
1	0	03-tag	ツール
1	0	04-tagUrlName	https://qiita.com/tags/%e3%83%84%e3%83%bc%e3%83%ab
1	1	03-tag	ライブラリ
1	1	04-tagUrlName	https://qiita.com/tags/%e3%83%a9%e3%82%a4%e3%83%96%e3%83%a9%e3%83%aa
1	2	03-tag	開発プロセス
1	2	04-tagUrlName	https://qiita.com/tags/%e9%96%8b%e7%99%ba%e3%83%97%e3%83%ad%e3%82%bb%e3%82%b9
2	0	01-title	build.gradleの設定で困ったこととかのメモ
2	0	02-titleUrlName	https://qiita.com/opengl-8080/items/0622f7d5cd4fe7b2a1db
2	0	03-tag	Java
2	0	04-tagUrlName	https://qiita.com/tags/java
2	1	03-tag	gradle
2	1	04-tagUrlName	https://qiita.com/tags/gradle
3	0	01-title	Gradle 4.4の初歩的な仕組み、使い方を学ぶ
3	0	02-titleUrlName	https://qiita.com/rubytomato@github/items/9f9c08eaee80af01aa49
3	0	03-tag	Java
3	0	04-tagUrlName	https://qiita.com/tags/java
3	1	03-tag	gradle
3	1	04-tagUrlName	https://qiita.com/tags/gradle
4	0	01-title	Gradle使い方メモ
4	0	02-titleUrlName	https://qiita.com/opengl-8080/items/4c1aa85b4737bd362d9e
4	0	03-tag	Java
4	0	04-tagUrlName	https://qiita.com/tags/java
4	1	03-tag	gradle
4	1	04-tagUrlName	https://qiita.com/tags/gradle
5	0	01-title	【Java】DomaでMySQL系DBを扱うときにBatchInsertのinsertを1つにまとめる
5	0	02-titleUrlName	https://qiita.com/momosetkn/items/e6953e56a2f9bf13b809
5	0	03-tag	Java
5	0	04-tagUrlName	https://qiita.com/tags/java
5	1	03-tag	Doma
5	1	04-tagUrlName	https://qiita.com/tags/doma
5	2	03-tag	doma2
5	2	04-tagUrlName	https://qiita.com/tags/doma2
5	3	03-tag	BulkInsert
5	3	04-tagUrlName	https://qiita.com/tags/bulkinsert
6	0	01-title	Gradleでタスクの一覧を表示する
6	0	02-titleUrlName	https://qiita.com/suin/items/1dc1b76b60246a45fac9
6	0	03-tag	gradle
6	0	04-tagUrlName	https://qiita.com/tags/gradle
7	0	01-title	既存のMavenプロジェクトをGradleでビルドできるようにしてみよう
7	0	02-titleUrlName	https://qiita.com/pe-suke/items/0351b8bbc44b84f80504
7	0	03-tag	Java
7	0	04-tagUrlName	https://qiita.com/tags/java
7	1	03-tag	Maven
7	1	04-tagUrlName	https://qiita.com/tags/maven
7	2	03-tag	gradle
7	2	04-tagUrlName	https://qiita.com/tags/gradle
8	0	01-title	Windows10にGradleをインストール
8	0	02-titleUrlName	https://qiita.com/quwahara/items/9c4e5fbda421cfcb09ad
8	0	03-tag	gradle
8	0	04-tagUrlName	https://qiita.com/tags/gradle
8	1	03-tag	Windows10
8	1	04-tagUrlName	https://qiita.com/tags/windows10
9	0	01-title	doma2でデータベース連携(Spring boot)
9	0	02-titleUrlName	https://qiita.com/sukezane/items/35f17aa9a20ba7a4a471
9	0	03-tag	Java
9	0	04-tagUrlName	https://qiita.com/tags/java
9	1	03-tag	spring
9	1	04-tagUrlName	https://qiita.com/tags/spring
9	2	03-tag	spring-boot
9	2	04-tagUrlName	https://qiita.com/tags/spring-boot
9	3	03-tag	doma2
9	3	04-tagUrlName	https://qiita.com/tags/doma2
10	0	01-title	【Python】.whlファイルをpipでインストールしようとして「○○.whl is not a supported wheel on this platform.」エラーが出た時の対応
10	0	02-titleUrlName	https://qiita.com/r-ngtm/items/f7dc53bf713d12f6be9d
10	0	03-tag	Python
10	0	04-tagUrlName	https://qiita.com/tags/python
10	1	03-tag	pip
10	1	04-tagUrlName	https://qiita.com/tags/pip
10	2	03-tag	whl
10	2	04-tagUrlName	https://qiita.com/tags/whl
11	0	01-title	[Python]Qt Designer簡単に使い方。
11	0	02-titleUrlName	https://qiita.com/Dreamwalker/items/60b9fbc931381a849525
11	0	03-tag	Python
11	0	04-tagUrlName	https://qiita.com/tags/python
11	1	03-tag	Qt
11	1	04-tagUrlName	https://qiita.com/tags/qt
11	2	03-tag	Python3
11	2	04-tagUrlName	https://qiita.com/tags/python3
11	3	03-tag	QtDesigner
11	3	04-tagUrlName	https://qiita.com/tags/qtdesigner
12	0	01-title	[Python]Qt Designerの経路
12	0	02-titleUrlName	https://qiita.com/Dreamwalker/items/de2e200c09f6807932e8
12	0	03-tag	Python
12	0	04-tagUrlName	https://qiita.com/tags/python
12	1	03-tag	Qt
12	1	04-tagUrlName	https://qiita.com/tags/qt
13	0	01-title	PythonのTkinterを使ってみる
13	0	02-titleUrlName	https://qiita.com/nnahito/items/ad1428a30738b3d93762
13	0	03-tag	Python
13	0	04-tagUrlName	https://qiita.com/tags/python
13	1	03-tag	python2.7
13	1	04-tagUrlName	https://qiita.com/tags/python2.7
13	2	03-tag	Tkinter
13	2	04-tagUrlName	https://qiita.com/tags/tkinter
13	3	03-tag	初心者入門
13	3	04-tagUrlName	https://qiita.com/tags/%e5%88%9d%e5%bf%83%e8%80%85%e5%85%a5%e9%96%80
14	0	01-title	windowsで快適なC/C++開発環境を作る
14	0	02-titleUrlName	https://qiita.com/pengincoalition/items/2bc1e0a80b114d6c49a6
14	0	03-tag	C
14	0	04-tagUrlName	https://qiita.com/tags/c
14	1	03-tag	C++
14	1	04-tagUrlName	https://qiita.com/tags/cpp
14	2	03-tag	Windows
14	2	04-tagUrlName	https://qiita.com/tags/windows
14	3	03-tag	GCC
14	3	04-tagUrlName	https://qiita.com/tags/gcc
14	4	03-tag	MinGW
14	4	04-tagUrlName	https://qiita.com/tags/mingw
15	0	01-title	VSCodeのRemote WSLでWSLを快適に使う
15	0	02-titleUrlName	https://qiita.com/nj_ryoo0/items/a42c47436b77310f5430
15	0	03-tag	VSCode
15	0	04-tagUrlName	https://qiita.com/tags/vscode
15	1	03-tag	WSL
15	1	04-tagUrlName	https://qiita.com/tags/wsl
16	0	01-title	Spring Boot で Thymeleaf 使い方メモ
16	0	02-titleUrlName	https://qiita.com/opengl-8080/items/eb3bf3b5301bae398cc2
16	0	03-tag	Java
16	0	04-tagUrlName	https://qiita.com/tags/java
16	1	03-tag	Thymeleaf
16	1	04-tagUrlName	https://qiita.com/tags/thymeleaf
16	2	03-tag	spring-boot
16	2	04-tagUrlName	https://qiita.com/tags/spring-boot
16	3	03-tag	spring-mvc
16	3	04-tagUrlName	https://qiita.com/tags/spring-mvc
17	0	01-title	日々プロキシで苦しむ人の為のプロキシ設定まとめ
17	0	02-titleUrlName	https://qiita.com/uzresk/items/bc7c4a9dc764390cd5ce
17	0	03-tag	Java
17	0	04-tagUrlName	https://qiita.com/tags/java
17	1	03-tag	Windows
17	1	04-tagUrlName	https://qiita.com/tags/windows
17	2	03-tag	Linux
17	2	04-tagUrlName	https://qiita.com/tags/linux
17	3	03-tag	CentOS
17	3	04-tagUrlName	https://qiita.com/tags/centos
17	4	03-tag	Vagrant
17	4	04-tagUrlName	https://qiita.com/tags/vagrant
18	0	01-title	Mavenが会社のプロキシに阻まれて動かないとき
18	0	02-titleUrlName	https://qiita.com/shibafu/items/6a9e35ce7a681b8e676f
18	0	03-tag	Java
18	0	04-tagUrlName	https://qiita.com/tags/java
18	1	03-tag	Maven
18	1	04-tagUrlName	https://qiita.com/tags/maven
19	0	01-title	mavenのプロキシ設定
19	0	02-titleUrlName	https://qiita.com/taito-ITO/items/9763e7b3618b46691c83
19	0	03-tag	Maven
