grp	subgrp	label	value
0	0	01-title	よく使うcurlコマンドのオプションまとめ（14個）
0	0	02-titleUrlName	https://qiita.com/shtnkgm/items/45b4cd274fa813d29539
0	0	03-tag	Mac
0	0	04-tagUrlName	https://qiita.com/tags/mac
0	1	03-tag	Linux
0	1	04-tagUrlName	https://qiita.com/tags/linux
0	2	03-tag	curl
0	2	04-tagUrlName	https://qiita.com/tags/curl
0	3	03-tag	UNIX
0	3	04-tagUrlName	https://qiita.com/tags/unix
1	0	01-title	TeraTermで効率良くファイル転送
1	0	02-titleUrlName	https://qiita.com/go-to/items/409e32116213bdf4b1ce
1	0	03-tag	teraterm
1	0	04-tagUrlName	https://qiita.com/tags/teraterm
1	1	03-tag	readlink
1	1	04-tagUrlName	https://qiita.com/tags/readlink
1	2	03-tag	Linuxコマンド
1	2	04-tagUrlName	https://qiita.com/tags/linux%e3%82%b3%e3%83%9e%e3%83%b3%e3%83%89
1	3	03-tag	ファイル転送
1	3	04-tagUrlName	https://qiita.com/tags/%e3%83%95%e3%82%a1%e3%82%a4%e3%83%ab%e8%bb%a2%e9%80%81
2	0	01-title	scpコマンドでファイル送る、とってくる
2	0	02-titleUrlName	https://qiita.com/shuuhei/items/e435762017c11f71d07d
2	0	03-tag	scp
2	0	04-tagUrlName	https://qiita.com/tags/scp
3	0	01-title	curlでファイルアップロードする方法と注意点
3	0	02-titleUrlName	https://qiita.com/u1tnk/items/3d1f4de1f104205bf0ed
3	0	03-tag	curl
3	0	04-tagUrlName	https://qiita.com/tags/curl
4	0	01-title	テスト環境をDockerで作成する(Webサーバ+DBサーバ+Javaアプリ)
4	0	02-titleUrlName	https://qiita.com/nagi244/items/e5de6fc062fdcc5004e9
4	0	03-tag	Docker
4	0	04-tagUrlName	https://qiita.com/tags/docker
4	1	03-tag	docker-compose
4	1	04-tagUrlName	https://qiita.com/tags/docker-compose
5	0	01-title	Docker pull commit push Dockerfile Apache Tomcat環境をつくる
5	0	02-titleUrlName	https://qiita.com/cyberblack28/items/f026394919099c744462
5	0	03-tag	Linux
5	0	04-tagUrlName	https://qiita.com/tags/linux
5	1	03-tag	Apache
5	1	04-tagUrlName	https://qiita.com/tags/apache
5	2	03-tag	Tomcat
5	2	04-tagUrlName	https://qiita.com/tags/tomcat
5	3	03-tag	Docker
5	3	04-tagUrlName	https://qiita.com/tags/docker
6	0	01-title	Dockerfile システムコンテナ(centOS/apache/tomcatアプリケーション)作成メモ
6	0	02-titleUrlName	https://qiita.com/tmkt/items/a66b199eb0e36d4a42e8
6	0	03-tag	CentOS
6	0	04-tagUrlName	https://qiita.com/tags/centos
6	1	03-tag	Apache
6	1	04-tagUrlName	https://qiita.com/tags/apache
6	2	03-tag	Tomcat
6	2	04-tagUrlName	https://qiita.com/tags/tomcat
6	3	03-tag	Docker
6	3	04-tagUrlName	https://qiita.com/tags/docker
7	0	01-title	POSTで送信されたデータを確認する方法
7	0	02-titleUrlName	https://qiita.com/rshibasa/items/53ad50c62d9fba2fe8a3
7	0	03-tag	tcpdump
7	0	04-tagUrlName	https://qiita.com/tags/tcpdump
7	1	03-tag	ngrep
7	1	04-tagUrlName	https://qiita.com/tags/ngrep
8	0	01-title	curlコマンドから HTTP POST する方法
8	0	02-titleUrlName	https://qiita.com/letsspeak/items/8c7266742371699ab45e
8	0	03-tag	Bash
8	0	04-tagUrlName	https://qiita.com/tags/bash
9	0	01-title	curlコマンドでapiを叩く
9	0	02-titleUrlName	https://qiita.com/bunty/items/758425773b2239feb9a7
9	0	03-tag	curl
9	0	04-tagUrlName	https://qiita.com/tags/curl
9	1	03-tag	api
9	1	04-tagUrlName	https://qiita.com/tags/api
9	2	03-tag	Linuxコマンド
9	2	04-tagUrlName	https://qiita.com/tags/linux%e3%82%b3%e3%83%9e%e3%83%b3%e3%83%89
10	0	01-title	よく使われているvimrcの設定ランキング
10	0	02-titleUrlName	https://qiita.com/reireias/items/230c77b3ff5575832654
10	0	03-tag	Vim
10	0	04-tagUrlName	https://qiita.com/tags/vim
10	1	03-tag	vimrc
10	1	04-tagUrlName	https://qiita.com/tags/vimrc
10	2	03-tag	neovim
10	2	04-tagUrlName	https://qiita.com/tags/neovim
11	0	01-title	コンパイルとビルドとメイクの違い
11	0	02-titleUrlName	https://qiita.com/yizumi1012xxx/items/cc1fb7b21ead4d20dcef
11	0	03-tag	C++
11	0	04-tagUrlName	https://qiita.com/tags/cpp
12	0	01-title	[Summary] ビルドとコンパイルとメイク
12	0	02-titleUrlName	https://qiita.com/Rowing0914/items/588d3466f36f32bab0df
12	0	03-tag	Build
12	0	04-tagUrlName	https://qiita.com/tags/build
12	1	03-tag	Make
12	1	04-tagUrlName	https://qiita.com/tags/make
12	2	03-tag	compile
12	2	04-tagUrlName	https://qiita.com/tags/compile
13	0	01-title	ビルドとコンパイルの違い
13	0	02-titleUrlName	https://qiita.com/rico/items/9ab8aa110e757a13ef37
13	0	03-tag	コンパイル
13	0	04-tagUrlName	https://qiita.com/tags/%e3%82%b3%e3%83%b3%e3%83%91%e3%82%a4%e3%83%ab
13	1	03-tag	ビルド
13	1	04-tagUrlName	https://qiita.com/tags/%e3%83%93%e3%83%ab%e3%83%89
14	0	01-title	curlでproxyを通したくないときの対応
14	0	02-titleUrlName	https://qiita.com/tenten0213/items/a68cca7952dfb5f4a06a
14	0	03-tag	curl
14	0	04-tagUrlName	https://qiita.com/tags/curl
15	0	01-title	よく使うcurlコマンドのオプション
15	0	02-titleUrlName	https://qiita.com/ryuichi1208/items/e4e1b27ff7d54a66dcd9
15	0	03-tag	Linux
15	0	04-tagUrlName	https://qiita.com/tags/linux
15	1	03-tag	curl
15	1	04-tagUrlName	https://qiita.com/tags/curl
16	0	01-title	curl option 覚え書き
16	0	02-titleUrlName	https://qiita.com/takayukioda/items/edf371b3566bea64d046
16	0	03-tag	ShellScript
16	0	04-tagUrlName	https://qiita.com/tags/shellscript
16	1	03-tag	command
16	1	04-tagUrlName	https://qiita.com/tags/command
16	2	03-tag	curl
16	2	04-tagUrlName	https://qiita.com/tags/curl
17	0	01-title	作って覚える Vim script
17	0	02-titleUrlName	https://qiita.com/nishiyamakanako/items/771114f2092ac9e655d5
17	0	03-tag	Vim
17	0	04-tagUrlName	https://qiita.com/tags/vim
17	1	03-tag	AdventCalendar
17	1	04-tagUrlName	https://qiita.com/tags/adventcalendar
17	2	03-tag	vimrc
17	2	04-tagUrlName	https://qiita.com/tags/vimrc
18	0	01-title	.bash_profileと.bashrcについて
18	0	02-titleUrlName	https://qiita.com/shyamahira/items/260862743e4c9794b5d2
18	0	03-tag	Linux
18	0	04-tagUrlName	https://qiita.com/tags/linux
19	0	01-title	suコマンドの基本
19	0	02-titleUrlName	https://qiita.com/i35_267/items/39f09643383353861565
19	0	03-tag	Bash
19	0	04-tagUrlName	https://qiita.com/tags/bash
19	1	03-tag	Linux
19	1	04-tagUrlName	https://qiita.com/tags/linux
19	2	03-tag	CentOS
19	2	04-tagUrlName	https://qiita.com/tags/centos
19	3	03-tag	su
19	3	04-tagUrlName	https://qiita.com/tags/su
20	0	01-title	sudo で書き込みをしたい
20	0	02-titleUrlName	https://qiita.com/jiz/items/d4f05ffacedefc11f14d
20	0	03-tag	Ruby
20	0	04-tagUrlName	https://qiita.com/tags/ruby
20	1	03-tag	ShellScript
20	1	04-tagUrlName	https://qiita.com/tags/shellscript
20	2	03-tag	Linux
20	2	04-tagUrlName	https://qiita.com/tags/linux
20	3	03-tag	sudo
20	3	04-tagUrlName	https://qiita.com/tags/sudo
20	4	03-tag	root
20	4	04-tagUrlName	https://qiita.com/tags/root
21	0	01-title	シンボリックリンク設定方法
21	0	02-titleUrlName	https://qiita.com/0084ken/items/6f39498c86fb592b2baf
21	0	03-tag	Linux
21	0	04-tagUrlName	https://qiita.com/tags/linux
21	1	03-tag	シンボリックリンク
21	1	04-tagUrlName	https://qiita.com/tags/%e3%82%b7%e3%83%b3%e3%83%9c%e3%83%aa%e3%83%83%e3%82%af%e3%83%aa%e3%83%b3%e3%82%af
21	2	03-tag	Linuxコマンド
21	2	04-tagUrlName	https://qiita.com/tags/linux%e3%82%b3%e3%83%9e%e3%83%b3%e3%83%89
22	0	01-title	シェルスクリプトで所有者がrootのファイルを編集する3つの方法
22	0	02-titleUrlName	https://qiita.com/yn-misaki/items/2fcdd4d707c87c7c789c
22	0	03-tag	ShellScript
22	0	04-tagUrlName	https://qiita.com/tags/shellscript
22	1	03-tag	Mac
22	1	04-tagUrlName	https://qiita.com/tags/mac
22	2	03-tag	CentOS
22	2	04-tagUrlName	https://qiita.com/tags/centos
22	3	03-tag	Vagrant
22	3	04-tagUrlName	https://qiita.com/tags/vagrant
22	4	03-tag	centos7
22	4	04-tagUrlName	https://qiita.com/tags/centos7
23	0	01-title	Docker初心者にオススメのゴリラ製ツール
23	0	02-titleUrlName	https://qiita.com/gorilla0513/items/1211898cf3e09ba6f6f0
23	0	03-tag	tool
23	0	04-tagUrlName	https://qiita.com/tags/tool
23	1	03-tag	Docker
23	1	04-tagUrlName	https://qiita.com/tags/docker
23	2	03-tag	tui
23	2	04-tagUrlName	https://qiita.com/tags/tui
24	0	01-title	脱初心者を目指すなら知っておきたい便利なVimコマンド25選 (Vimmerレベル診断付き)
24	0	02-titleUrlName	https://qiita.com/jnchito/items/57ffda5712636a9a1e62
24	0	03-tag	Vim
24	0	04-tagUrlName	https://qiita.com/tags/vim
25	0	01-title	vimの標準ファイラnetrwは普通に良さそうな話し
25	0	02-titleUrlName	https://qiita.com/gorilla0513/items/bf2f78dfec67242f5bcf
25	0	03-tag	Vim
25	0	04-tagUrlName	https://qiita.com/tags/vim
26	0	01-title	改行(\\n)をスペースに置換するコマンド
26	0	02-titleUrlName	https://qiita.com/syui/items/3e596be0fce4d7d1b095
26	0	03-tag	Perl
26	0	04-tagUrlName	https://qiita.com/tags/perl
26	1	03-tag	Mac
26	1	04-tagUrlName	https://qiita.com/tags/mac
26	2	03-tag	Linux
26	2	04-tagUrlName	https://qiita.com/tags/linux
26	3	03-tag	shell
26	3	04-tagUrlName	https://qiita.com/tags/shell
27	0	01-title	ここまで出来る！Vimの(ちょっと高度な)正規表現と検索/置換テクニック
27	0	02-titleUrlName	https://qiita.com/m-yamashita/items/5755ca2717c8d5be57e4
27	0	03-tag	Vim
27	0	04-tagUrlName	https://qiita.com/tags/vim
27	1	03-tag	正規表現
27	1	04-tagUrlName	https://qiita.com/tags/%e6%ad%a3%e8%a6%8f%e8%a1%a8%e7%8f%be
28	0	01-title	はじめてのvimscriptとvimプラグインの作成
28	0	02-titleUrlName	https://qiita.com/Sa2Knight/items/6b26d35af571c239da31
28	0	03-tag	Vim
28	0	04-tagUrlName	https://qiita.com/tags/vim
28	1	03-tag	neobundle
28	1	04-tagUrlName	https://qiita.com/tags/neobundle
28	2	03-tag	vimscript
28	2	04-tagUrlName	https://qiita.com/tags/vimscript
28	3	03-tag	vim-plugins
28	3	04-tagUrlName	https://qiita.com/tags/vim-plugins
29	0	01-title	Vimと外部コマンドをつなぐ!コマンド(仮称)
29	0	02-titleUrlName	https://qiita.com/nil2/items/9f2365eb1e8abf3d323b
29	0	03-tag	Vim
29	0	04-tagUrlName	https://qiita.com/tags/vim
30	0	01-title	.vimrcやVim scriptでの~を使ったホームディレクトリのパスの展開
30	0	02-titleUrlName	https://qiita.com/kesoji/items/1104031e37e27e4049e5
30	0	03-tag	Vim
30	0	04-tagUrlName	https://qiita.com/tags/vim
30	1	03-tag	vimscript
30	1	04-tagUrlName	https://qiita.com/tags/vimscript
31	0	01-title	vim様でクリップボードにコピーできるようにする
31	0	02-titleUrlName	https://qiita.com/cawpea/items/3ca4ab80fc465d8eed7e
31	0	03-tag	Vim
31	0	04-tagUrlName	https://qiita.com/tags/vim
31	1	03-tag	MacOSX
31	1	04-tagUrlName	https://qiita.com/tags/macosx
32	0	01-title	vimで一気にコメントアウトする方法(複数行の先頭に文字を追加する方法)
32	0	02-titleUrlName	https://qiita.com/shirochan/items/174c3169344043449339
32	0	03-tag	Vim
32	0	04-tagUrlName	https://qiita.com/tags/vim
33	0	01-title	vimで構文のハイライトを自作する
33	0	02-titleUrlName	https://qiita.com/kimurap/items/7058c9fe29f51932b196
33	0	03-tag	Vim
33	0	04-tagUrlName	https://qiita.com/tags/vim
33	1	03-tag	vimrc
33	1	04-tagUrlName	https://qiita.com/tags/vimrc
34	0	01-title	Vimがちょっと便利になる5つ起動オプション(おまけあり)
34	0	02-titleUrlName	https://qiita.com/simeji/items/41f4c1bd4e9a2b3c1526
34	0	03-tag	Vim
