grp	subgrp	label	value
16	1	04-tagUrlName	https://qiita.com/tags/curl
16	2	03-tag	Docker
16	2	04-tagUrlName	https://qiita.com/tags/docker
16	3	03-tag	ポートフォワーディング
16	3	04-tagUrlName	https://qiita.com/tags/%e3%83%9d%e3%83%bc%e3%83%88%e3%83%95%e3%82%a9%e3%83%af%e3%83%bc%e3%83%87%e3%82%a3%e3%83%b3%e3%82%b0
17	0	01-title	lsofコマンド入門
17	0	02-titleUrlName	https://qiita.com/hypermkt/items/905139168b0bc5c28ef2
17	0	03-tag	Linux
17	0	04-tagUrlName	https://qiita.com/tags/linux
17	1	03-tag	入門
17	1	04-tagUrlName	https://qiita.com/tags/%e5%85%a5%e9%96%80
17	2	03-tag	lsof
17	2	04-tagUrlName	https://qiita.com/tags/lsof
18	0	01-title	iptablesの使い方
18	0	02-titleUrlName	https://qiita.com/hana_shin/items/956dfaca4539ba257c16
18	0	03-tag	iptables
18	0	04-tagUrlName	https://qiita.com/tags/iptables
18	1	03-tag	centos7
18	1	04-tagUrlName	https://qiita.com/tags/centos7
19	0	01-title	DockerfileのCMDおよびdocker-compose.ymlで複数のbashコマンドを実行させる方法
19	0	02-titleUrlName	https://qiita.com/kon_yu/items/29e6e7ad1caa28dce498
19	0	03-tag	Bash
19	0	04-tagUrlName	https://qiita.com/tags/bash
19	1	03-tag	Docker
19	1	04-tagUrlName	https://qiita.com/tags/docker
19	2	03-tag	docker-compose
19	2	04-tagUrlName	https://qiita.com/tags/docker-compose
20	0	01-title	docker-composeの最新Verでインストール
20	0	02-titleUrlName	https://qiita.com/fake-deli-ca/items/955f648036fe803e4f33
20	0	03-tag	docker-compose
20	0	04-tagUrlName	https://qiita.com/tags/docker-compose
21	0	01-title	docker-compose.ymlでcommandの引数が長いのでエスケープして改行したい
21	0	02-titleUrlName	https://qiita.com/minamijoyo/items/fbd4ec127f29283fb458
21	0	03-tag	Docker
21	0	04-tagUrlName	https://qiita.com/tags/docker
21	1	03-tag	docker-compose
21	1	04-tagUrlName	https://qiita.com/tags/docker-compose
22	0	01-title	bashの変数展開によるファイル名や拡張子の取得
22	0	02-titleUrlName	https://qiita.com/mriho/items/b30b3a33e8d2e25e94a8
22	0	03-tag	Bash
22	0	04-tagUrlName	https://qiita.com/tags/bash
22	1	03-tag	ファイル名取得
22	1	04-tagUrlName	https://qiita.com/tags/%e3%83%95%e3%82%a1%e3%82%a4%e3%83%ab%e5%90%8d%e5%8f%96%e5%be%97
22	2	03-tag	拡張子取得
22	2	04-tagUrlName	https://qiita.com/tags/%e6%8b%a1%e5%bc%b5%e5%ad%90%e5%8f%96%e5%be%97
23	0	01-title	sedなんか投げ捨てて変数展開で高速に文字列を置換しよう
23	0	02-titleUrlName	https://qiita.com/yumetodo/items/3665e343c8063f56ab6a
23	0	03-tag	ShellScript
23	0	04-tagUrlName	https://qiita.com/tags/shellscript
23	1	03-tag	Bash
23	1	04-tagUrlName	https://qiita.com/tags/bash
24	0	01-title	Docker Compose - docker-compose.yml リファレンス
24	0	02-titleUrlName	https://qiita.com/zembutsu/items/9e9d80e05e36e882caaa
24	0	03-tag	docker-compose
24	0	04-tagUrlName	https://qiita.com/tags/docker-compose
25	0	01-title	Docker & Docker-Composeの基本的な使い方
25	0	02-titleUrlName	https://qiita.com/koka/items/3d3d4ee5680f92a0ad89
25	0	03-tag	Docker
25	0	04-tagUrlName	https://qiita.com/tags/docker
25	1	03-tag	docker-compose
25	1	04-tagUrlName	https://qiita.com/tags/docker-compose
26	0	01-title	docker-compose.ymlの書き方について解説してみた
26	0	02-titleUrlName	https://qiita.com/yuta-ushijima/items/d3d98177e1b28f736f04
26	0	03-tag	Docker
26	0	04-tagUrlName	https://qiita.com/tags/docker
26	1	03-tag	docker-compose
26	1	04-tagUrlName	https://qiita.com/tags/docker-compose
27	0	01-title	Docker、ボリューム(Volume)について真面目に調べた
27	0	02-titleUrlName	https://qiita.com/gounx2/items/23b0dc8b8b95cc629f32
27	0	03-tag	Docker
27	0	04-tagUrlName	https://qiita.com/tags/docker
27	1	03-tag	docker-compose
27	1	04-tagUrlName	https://qiita.com/tags/docker-compose
27	2	03-tag	新人プログラマ応援
27	2	04-tagUrlName	https://qiita.com/tags/%e6%96%b0%e4%ba%ba%e3%83%97%e3%83%ad%e3%82%b0%e3%83%a9%e3%83%9e%e5%bf%9c%e6%8f%b4
28	0	01-title	DockerのVolume機能について実験してみたことをまとめます
28	0	02-titleUrlName	https://qiita.com/namutaka/items/f6a574f75f0997a1bb1d
28	0	03-tag	Docker
28	0	04-tagUrlName	https://qiita.com/tags/docker
29	0	01-title	dirname、basenameは「%/*」と「##*/」で書くと処理速度が早くなる
29	0	02-titleUrlName	https://qiita.com/rita_cano_bika/items/712807a5f79065aab7d2
