ファンクション名	引数名	引数の属性	引数のデフォルト値	引数の型	戻り値型
pandas.__getattr__	name	POSITIONAL_OR_KEYWORD	<class 'inspect._empty'>	<class 'inspect._empty'>	<class 'inspect._empty'>
pandas.array	data	POSITIONAL_OR_KEYWORD	<class 'inspect._empty'>	typing.Sequence[object]	<class 'pandas.core.dtypes.generic.ABCExtensionArray'>
pandas.array	dtype	POSITIONAL_OR_KEYWORD	None	typing.Union[str, numpy.dtype, pandas.core.dtypes.base.ExtensionDtype, NoneType]	<class 'pandas.core.dtypes.generic.ABCExtensionArray'>
pandas.array	copy	POSITIONAL_OR_KEYWORD	True	<class 'bool'>	<class 'pandas.core.dtypes.generic.ABCExtensionArray'>
pandas.bdate_range	start	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	end	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	periods	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	freq	POSITIONAL_OR_KEYWORD	B	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	tz	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	normalize	POSITIONAL_OR_KEYWORD	True	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	name	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	weekmask	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	holidays	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	closed	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.bdate_range	kwargs	VAR_KEYWORD	<class 'inspect._empty'>	<class 'inspect._empty'>	<class 'pandas.core.indexes.datetimes.DatetimeIndex'>
pandas.concat	objs	POSITIONAL_OR_KEYWORD	<class 'inspect._empty'>	typing.Union[typing.Iterable[typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]], typing.Mapping[typing.Union[typing.Hashable, NoneType], typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]]]	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	axis	POSITIONAL_OR_KEYWORD	0	<class 'inspect._empty'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	join	POSITIONAL_OR_KEYWORD	outer	<class 'inspect._empty'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	ignore_index	POSITIONAL_OR_KEYWORD	False	<class 'bool'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	keys	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	levels	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	names	POSITIONAL_OR_KEYWORD	None	<class 'inspect._empty'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
pandas.concat	verify_integrity	POSITIONAL_OR_KEYWORD	False	<class 'bool'>	typing.Union[ForwardRef('DataFrame'), ForwardRef('Series')]
