行番号	単語	ファイル名	開始列番号	文書
45 	 作成	 /home/aine/script-env/ubuntu-19-10-vim/md-doc.md	 9	 21	 # dockerイメージ作成
46 	 作成	 /home/aine/script-env/centos-7-6-18-10-nodejs-vim/md-man.md	 8	 21	 # dockerイメージ作成
47 	 作成	 /home/aine/script-env/centos-7-6-18-10-nodejs-vim/md-man.md	 13	 21	 # dockerコンテナ作成
48 	 作成	 /home/aine/script-env/centos-7-6-18-10-nodejs-vim/md-doc.md	 9	 21	 # dockerイメージ作成
49 	 作成	 /home/aine/script-env/centos-7-6-18-10-r-rstudio/md-doc.md	 9	 21	 # dockerイメージ作成
50 	 作成	 /home/aine/script-env/md-trs.md	 43	 109	 bash
51 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/log	 137	 25	 依存関係ツリーを作成しています...
52 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/md-trs.md	 8	 25	 依存関係ツリーを作成しています
53 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/md-doc.md	 9	 21	 # dockerイメージ作成
54 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/01-log	 21018	 25	 依存関係ツリーを作成しています...
55 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/01-log	 21125	 25	 依存関係ツリーを作成しています...
56 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/01-log	 22348	 25	 依存関係ツリーを作成しています...
57 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/01-log	 22372	 25	 依存関係ツリーを作成しています...
58 	 作成	 /home/aine/script-env/ubuntu-16-04-sqlserver-dbeaver/01-log	 22943	 25	 依存関係ツリーを作成しています...
59 	 作成	 /home/aine/script-env/centos-7-6-18-10-go-vscode/md-doc.md	 9	 21	 # dockerイメージ作成
60 	 作成	 /home/aine/script-env/centos-7-6-18-10-nginx-vim/md-man.md	 5	 21	 # dockerイメージ作成
61 	 作成	 /home/aine/script-env/centos-7-6-18-10-nginx-vim/md-doc.md	 9	 21	 # dockerイメージ作成
62 	 作成	 /home/aine/script-env/centos-7-6-18-10-racket-drracket/md-man.md	 1	 21	 # dockerイメージ作成
63 	 作成	 /home/aine/script-env/centos-7-6-18-10-racket-drracket/md-man.md	 6	 21	 # dockerコンテナ作成
64 	 作成	 /home/aine/script-env/centos-7-6-18-10-racket-drracket/md-doc.md	 9	 21	 # dockerイメージ作成
65 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/md-doc.md	 9	 21	 # dockerイメージ作成
66 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 15	 28	 echo "pdbを${PDB_CNT}個作成します。"
67 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 17	 31	 [ $? -ne 0 ] && echo "pdbの作成に失敗しました。" && exit 1
68 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 18	 44	 [ $? -eq 0 ] && echo "pdbを${PDB_CNT}個作成しました。"
69 	 作成	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 39	 46	 [ -z "${PDB_NUM}" ] && echo ユーザーを作成するPDBを指定してください。&& exit 1
