type	name	mode	prot	user	group
directory	/tmp				
directory	/tmp/.ICE-unix	1777	drwxrwxrwt	root	root
socket	/tmp/.ICE-unix/1790	0777	srwxrwxrwx	aine	aine
directory	/tmp/.Test-unix	1777	drwxrwxrwt	root	root
file	/tmp/.X1024-lock	0444	-r--r--r--	gdm	gdm
file	/tmp/.X1025-lock	0444	-r--r--r--	gdm	gdm
directory	/tmp/.X11-unix	1777	drwxrwxrwt	root	root
socket	/tmp/.X11-unix/X0	0777	srwxrwxrwx	aine	aine
socket	/tmp/.X11-unix/X1024	0775	srwxrwxr-x	gdm	gdm
socket	/tmp/.X11-unix/X1025	0775	srwxrwxr-x	gdm	gdm
directory	/tmp/.XIM-unix	1777	drwxrwxrwt	root	root
directory	/tmp/.com.google.Chrome.7wGeKs	0700	drwx------	aine	aine
link	/tmp/.com.google.Chrome.7wGeKs/SingletonCookie	0777	lrwxrwxrwx	aine	aine
socket	/tmp/.com.google.Chrome.7wGeKs/SingletonSocket	0775	srwxrwxr-x	aine	aine
directory	/tmp/.font-unix	1777	drwxrwxrwt	root	root
directory	/tmp/.org.chromium.Chromium.j4jpRO	0700	drwx------	aine	aine
socket	/tmp/.org.chromium.Chromium.j4jpRO/SS	0775	srwxrwxr-x	aine	aine
link	/tmp/.org.chromium.Chromium.j4jpRO/SingletonCookie	0777	lrwxrwxrwx	aine	aine
file	/tmp/config-err-cb5UfW	0600	-rw-------	aine	aine
directory	/tmp/snap.snap-store	0700	drwx------	root	root
directory	/tmp/snap.snap-store/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/snap.snap-store/tmp/.snap	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/snap	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/snap/snap-store	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/snap/snap-store/467	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/snap/snap-store/467/data-dir	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/usr	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/usr/lib	0755	drwxr-xr-x	root	root
directory	/tmp/snap.snap-store/tmp/.snap/var	0755	drwxr-xr-x	root	root
directory	/tmp/ssh-5285dnGHh5A7	0700	drwx------	aine	aine
socket	/tmp/ssh-5285dnGHh5A7/agent.1703	0600	srw-------	aine	aine
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-ModemManager.service-kSduof	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-ModemManager.service-kSduof/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-bolt.service-1SlV2f	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-bolt.service-1SlV2f/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-colord.service-656Njg	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-colord.service-656Njg/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-switcheroo-control.service-dMVdsh	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-switcheroo-control.service-dMVdsh/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-logind.service-FMl0Kg	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-logind.service-FMl0Kg/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-resolved.service-Obcpuf	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-resolved.service-Obcpuf/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-timesyncd.service-lu37dj	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-systemd-timesyncd.service-lu37dj/tmp	1777	drwxrwxrwt	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-upower.service-AdiMWe	0700	drwx------	root	root
directory	/tmp/systemd-private-bec5ab063a39457b85ab6ac019eea954-upower.service-AdiMWe/tmp	1777	drwxrwxrwt	root	root
file	/tmp/test.json	0644	-rw-r--r--	root	root
directory	/tmp/tracker-extract-files.1000	0700	drwx------	aine	aine
directory	/tmp/tracker-extract-files.125	0700	drwx------	gdm	gdm
report					
