&#934;	Phi;	#934; 大文字のファイ（ギリシャ文字）
&#935;	Chi;	#935; 大文字のキー（ギリシャ文字）
&#936;	Psi;	#936; 大文字のプシー（ギリシャ文字）
&#937;	Omega;	#937; 大文字のオメガ（ギリシャ文字）
&#945;	alpha;	#945; 小文字のアルファ（ギリシャ文字）
&#946;	beta;	#946; 小文字のベータ（ギリシャ文字）
&#947;	gamma;	#947; 小文字のガンマ（ギリシャ文字）
&#948;	delta;	#948; 小文字のデルタ（ギリシャ文字）
&#949;	epsilon;	#949; 小文字のエプシロン（ギリシャ文字）
&#950;	zeta;	#950; 小文字のゼータ（ギリシャ文字）
&#951;	eta;	#951; 小文字のエータ（ギリシャ文字）
&#952;	theta;	#952; 小文字のシータ（ギリシャ文字）
&#953;	iota;	#953; 小文字のイオタ（ギリシャ文字）
&#954;	kappa;	#954; 小文字のカッパ（ギリシャ文字）
&#955;	lambda;	#955; 小文字のラムダ（ギリシャ文字）
&#956;	mu;	#956; 小文字のミュー（ギリシャ文字）
&#957;	nu;	#957; 小文字のニュー（ギリシャ文字）
&#958;	xi;	#958; 小文字のクシー（ギリシャ文字）
&#959;	omicron;	#959; 小文字のオミクロン（ギリシャ文字）
&#960;	pi;	#960; 小文字のパイ（ギリシャ文字）
&#961;	rho;	#961; 小文字のロー（ギリシャ文字）
&#962;	sigmaf;	#962; 小文字のシグマ（ギリシャ文字）
&#963;	sigma;	#963; 小文字のシグマ（ギリシャ文字）
&#964;	tau;	#964; 小文字のタウ（ギリシャ文字）
&#965;	upsilon;	#965; 小文字のユプシロン（ギリシャ文字）
&#966;	phi;	#966; 小文字のファイ（ギリシャ文字）
&#967;	chi;	#967; 小文字のキー（ギリシャ文字）
&#968;	psi;	#968; 小文字のプシー（ギリシャ文字）
&#969;	omega;	#969; 小文字のオメガ（ギリシャ文字）
&#977;	thetasym;	#977; シータ記号
&#978;	upsih;	#978; フック付きのユプシロン
&#982;	piv;	#982; パイ記号
&#8226;	bull;	#8226; リスト（箇条書きの一項目）の先頭
&#8230;	hellip;	#8230; 三点リーダ
&#8242;	prime;	#8242; プライム（ダッシュ）、分
&#8243;	Prime;	#8243; ダブルプライム（ダブルダッシュ）、秒
&#8254;	oline;	#8254; オーバーライン(強調のために引く上線）
&#8260;	frasl;	#8260; スラッシュ
&#8472;	weierp;	#8472; ヴァイエルシュトラスのP（ペー関数）
&#8465;	image;	#8465; ブラックレターのI（虚数など）
&#8476;	real;	#8476; ブラックレターのR（実数など）
&#8482;	trade;	#8482; 商品商標
&#8501;	alefsym;	#8501; アレフ記号（基数）
&#8592;	larr;	#8592; 左矢印
&#8593;	uarr;	#8593; 上矢印
&#8594;	rarr;	#8594; 右矢印
&#8595;	darr;	#8595; 下矢印
&#8596;	harr;	#8596; 左右矢印
&#8629;	crarr;	#8629; キャリッジ・リターン（改行）
&#8656;	lArr;	#8656; 左二重線矢印
&#8657;	uArr;	#8657; 上二重線矢印
&#8658;	rArr;	#8658; 右二重線矢印（ならば）
&#8659;	dArr;	#8659; 下二重線矢印
&#8660;	hArr;	#8660; 左右二重線矢印（同値）
&#8704;	forall;	#8704; 全称記号
&#8706;	part;	#8706; うんこ
&#8707;	exist;	#8707; うんこ
&#8709;	empty;	#8709; うんこ
&#8711;	nabla;	#8711; うんこ
&#8712;	isin;	#8712; うんこ
&#8713;	notin;	#8713; うんこ
&#8715;	ni;	#8715; うんこ
&#8719;	prod;	#8719; うんこ
&#8721;	sum;	#8721; うんこ
&#8722;	minus;	#8722; うんこ
&#8727;	lowast;	#8727; うんこ
&#8730;	radic;	#8730; うんこ
&#8733;	prop;	#8733; うんこ
&#8734;	infin;	#8734; うんこ
&#8736;	ang;	#8736; うんこ
&#8743;	and;	#8743; うんこ
&#8744;	or;	#8744; うんこ
&#8745;	cap;	#8745; うんこ
&#8746;	cup;	#8746; うんこ
&#8747;	int;	#8747; うんこ
&#8756;	there4;	#8756; うんこ
&#8764;	sim;	#8764; うんこ
&#8773;	cong;	#8773; うんこ
&#8776;	asymp;	#8776; うんこ
&#8800;	ne;	#8800; うんこ
&#8801;	equiv;	#8801; うんこ
&#8804;	le;	#8804; うんこ
&#8805;	ge;	#8805; うんこ
&#8834;	sub;	#8834; うんこ
&#8835;	sup;	#8835; うんこ
&#8836;	nsub;	#8836; うんこ
&#8838;	sube;	#8838; うんこ
&#8839;	supe;	#8839; うんこ
&#8853;	oplus;	#8853; うんこ
&#8855;	otimes;	#8855; うんこ
&#8869;	perp;	#8869; うんこ
&#8901;	sdot;	#8901; うんこ
&#8968;	lceil;	#8968; うんこ
&#8969;	rceil;	#8969; うんこ
&#8970;	lfloor;	#8970; うんこ
&#8971;	rfloor;	#8971; うんこ
&#9001;	lang;	#9001; うんこ
&#9002;	rang;	#9002; うんこ
&#9674;	loz;	#9674; ひし形（ロゼンジ）
&#9824;	spades;	#9824; スペード（塗りつぶし）
&#9827;	clubs;	#9827; クラブ（塗りつぶし）
&#9829;	hearts;	#9829; ハート（塗りつぶし）
&#9830;	diams;	#9830; ダイヤ（塗りつぶし）
&#34;	quot;	#34; クォーテーション（引用符）
&#38;	amp;	#38; アンパサンド
&#60;	lt;	#60; 小なり
&#62;	gt;	#62; 大なり
&#338;	OElig;	#338; フランス語などの合字記号OE
&#339;	oelig;	#339; フランス語などの合字記号oe
&#352;	Scaron;	#352; キャロン付きのS
&#353;	scaron;	#353; キャロン付きのs
&#376;	Yuml;	#376; ウムラウト付きのY
&#710;	circ;	#710; サーカムフレックス
&#732;	tilde;	#732; スモールチルダ
&#8194;	ensp;	#8194; nと同じ幅のスペース
&#8195;	emsp;	#8195; mと同じ幅のスペース
&#8201;	thinsp;	#8201; 細いスペース
&#8204;	zwnj;	#8204; ゼロ幅非接合子
&#8205;	zwj;	#8205; ゼロ幅接合子
&#8206;	lrm;	#8206; 左から右へマーク
&#8207;	rlm;	#8207; 右から左へマーク
&#8211;	ndash;	#8211; nと同じ幅のダッシュ
&#8212;	mdash;	#8212; mと同じ幅のダッシュ
&#8216;	lsquo;	#8216; 左シングルクォーテーション（引用符）
&#8217;	rsquo;	#8217; 右シングルクォーテーション（引用符）
&#8218;	sbquo;	#8218; 下シングルクォーテーション（引用符）
&#8220;	ldquo;	#8220; 左ダブルクォーテーション（引用符）
&#8221;	rdquo;	#8221; 右ダブルクォーテーション（引用符）
&#8222;	bdquo;	#8222; 下ダブルクォーテーション（引用符）
&#8224;	dagger;	#8224; 短剣符（参照や注があることを示す）
&#8225;	Dagger;	#8225; 二重短剣符（参照や注があることを示す）
&#8240;	permil;	#8240; パーミル（千分率、%の分母に0を一つ追加）
&#8249;	lsaquo;	#8249; 左の山括弧（引用符）
&#8250;	rsaquo;	#8250; 右の山括弧（引用符）
&#8364;	euro;	#8364; ユーロ（通貨）
