name	version	resolved	integrity	requires	depend_on_name	depend_on_version	depend_on_resolved	depend_on_integrity	depend_on_requires
dir-glob	3.0.1	https://registry.npmjs.org/dir-glob/-/dir-glob-3.0.1.tgz	sha512-WkrWp9GR4KXfKGYzOLmTuGVi1UWFfws377n9cc55/tb6DuqyF6pcQ5AbiHEshaDpY9v6oaSr2XCDidGmMwdzIA==	path-type:^4.0.0					
atob	2.1.2	https://registry.npmjs.org/atob/-/atob-2.1.2.tgz	sha512-Wm6ukoaOGJi/73p/cl2GvLjTI5JM1k/O14isD73YML8StrH/7/lRFgmg8nICZgD3bZZvjwCGxtMOD3wWNAu8cg==						
source-map-support	0.5.19	https://registry.npmjs.org/source-map-support/-/source-map-support-0.5.19.tgz	sha512-Wonm7zOCIJzBGQdB+thsPar0kYuCIzYvxZwlBa87yi/Mdjv7Tip2cyVbLj5o0cFPN4EVkuTwb3GDDyUx2DGnGw==		source-map	0.6.1	https://registry.npmjs.org/source-map/-/source-map-0.6.1.tgz	sha512-UjgapumWlbMhkBgzT7Ykc5YXUT46F0iKu8SGXq0bcwP5dz/h0Plj6enJqjz1Zbq2l5WaqYnrVbwWOWMyF3F47g==	
@babel/core	7.11.6	https://registry.npmjs.org/@babel/core/-/core-7.11.6.tgz	sha512-Wpcv03AGnmkgm6uS6k8iwhIwTrcP0m17TL1n1sy7qD0qelDu4XNeW0dN0mHfa+Gei211yDaLoEe/VlbXQzM4Bg==		semver	5.7.1	https://registry.npmjs.org/semver/-/semver-5.7.1.tgz	sha512-sauaDf/PZdVgrLTNYHRtpXa1iRiKcaebiKQ1BJdpQlWH2lCvexQdX55snPFyK7QzpudqbCI0qXFfOasHdyNDGQ==	
postcss-colormin	4.0.3	https://registry.npmjs.org/postcss-colormin/-/postcss-colormin-4.0.3.tgz	sha512-WyQFAdDZpExQh32j0U0feWisZ0dmOtPl44qYmJKkq9xFWY3p+4qnRzCHeNrkeRhwPHz9bQ3mo0/yVkaply0MNw==		postcss-value-parser	3.3.1	https://registry.npmjs.org/postcss-value-parser/-/postcss-value-parser-3.3.1.tgz	sha512-pISE66AbVkp4fDQ7VHBwRNXzAAKJjw4Vw7nWI/+Q3vuly7SNfgYXvm6i5IgFylHGK5sP/xHAbB7N49OS4gWNyQ==	
@babel/plugin-transform-block-scoped-functions	7.10.4	https://registry.npmjs.org/@babel/plugin-transform-block-scoped-functions/-/plugin-transform-block-scoped-functions-7.10.4.tgz	sha512-WzXDarQXYYfjaV1szJvN3AD7rZgZzC1JtjJZ8dMHUyiK8mxPRahynp14zzNjU3VkPqPsO38CzxiWO1c9ARZ8JA==	@babel/helper-plugin-utils:^7.10.4					
@babel/parser	7.11.5	https://registry.npmjs.org/@babel/parser/-/parser-7.11.5.tgz	sha512-X9rD8qqm695vgmeaQ4fvz/o3+Wk4ZzQvSHkDBgpYKxpD4qTAUm88ZKtHkVqIOsYFFbIQ6wQYhC6q7pjqVK0E0Q==						
is-stream	2.0.0	https://registry.npmjs.org/is-stream/-/is-stream-2.0.0.tgz	sha512-XCoy+WlUr7d1+Z8GgSuXmpuUFC9fOhRXglJMx+dwLKTkL44Cjd4W1Z5P+BQZpr+cR93aGP4S/s7Ftw6Nd/kiEw==						
vue-meta	2.4.0	https://registry.npmjs.org/vue-meta/-/vue-meta-2.4.0.tgz	sha512-XEeZUmlVeODclAjCNpWDnjgw+t3WA6gdzs6ENoIAgwO1J1d5p1tezDhtteLUFwcaQaTtayRrsx7GL6oXp/m2Jw==	deepmerge:^4.2.2					
pascal-case	3.1.1	https://registry.npmjs.org/pascal-case/-/pascal-case-3.1.1.tgz	sha512-XIeHKqIrsquVTQL2crjq3NfJUxmdLasn3TYOU0VBM+UX2a6ztAWBlJQBePLGY7VHW8+2dRadeIPK5+KImwTxQA==	no-case:^3.0.3,tslib:^1.10.0					
