パッケージ名	キー	バリュー
os	div-url	https://golang.org/pkg/os/
os	div-dl-dd-0-a	Constants
os	div-dl-dd-1-a	Variables
os	div-dl-dd-2-a	func Chdir(dir string) error
os	div-dl-dd-3-a	func Chmod(name string, mode FileMode) error
os	div-dl-dd-4-a	func Chown(name string, uid, gid int) error
os	div-dl-dd-5-a	func Chtimes(name string, atime time.Time, mtime time.Time) error
os	div-dl-dd-6-a	func Clearenv()
os	div-dl-dd-7-a	func Environ() []string
os	div-dl-dd-8-a	func Executable() (string, error)
os	div-dl-dd-9-a	func Exit(code int)
os	div-dl-dd-10-a	func Expand(s string, mapping func(string) string) string
os	div-dl-dd-11-a	func ExpandEnv(s string) string
os	div-dl-dd-12-a	func Getegid() int
os	div-dl-dd-13-a	func Getenv(key string) string
os	div-dl-dd-14-a	func Geteuid() int
os	div-dl-dd-15-a	func Getgid() int
os	div-dl-dd-16-a	func Getgroups() ([]int, error)
os	div-dl-dd-17-a	func Getpagesize() int
os	div-dl-dd-18-a	func Getpid() int
os	div-dl-dd-19-a	func Getppid() int
os	div-dl-dd-20-a	func Getuid() int
os	div-dl-dd-21-a	func Getwd() (dir string, err error)
os	div-dl-dd-22-a	func Hostname() (name string, err error)
os	div-dl-dd-23-a	func IsExist(err error) bool
os	div-dl-dd-24-a	func IsNotExist(err error) bool
os	div-dl-dd-25-a	func IsPathSeparator(c uint8) bool
os	div-dl-dd-26-a	func IsPermission(err error) bool
os	div-dl-dd-27-a	func IsTimeout(err error) bool
os	div-dl-dd-28-a	func Lchown(name string, uid, gid int) error
os	div-dl-dd-29-a	func Link(oldname, newname string) error
os	div-dl-dd-30-a	func LookupEnv(key string) (string, bool)
os	div-dl-dd-31-a	func Mkdir(name string, perm FileMode) error
os	div-dl-dd-32-a	func MkdirAll(path string, perm FileMode) error
os	div-dl-dd-33-a	func NewSyscallError(syscall string, err error) error
os	div-dl-dd-34-a	func Pipe() (r *File, w *File, err error)
os	div-dl-dd-35-a	func Readlink(name string) (string, error)
