パッケージ名	キー	バリュー
bufio	div-url	https://golang.org/pkg/bufio/
bufio	div-dl-dd-0-a	Constants
bufio	div-dl-dd-1-a	Variables
bufio	div-dl-dd-2-a	func ScanBytes(data []byte, atEOF bool) (advance int, token []byte, err error)
bufio	div-dl-dd-3-a	func ScanLines(data []byte, atEOF bool) (advance int, token []byte, err error)
bufio	div-dl-dd-4-a	func ScanRunes(data []byte, atEOF bool) (advance int, token []byte, err error)
bufio	div-dl-dd-5-a	func ScanWords(data []byte, atEOF bool) (advance int, token []byte, err error)
bufio	div-dl-dd-6-a	type ReadWriter
bufio	div-dl-dd-7-a	func NewReadWriter(r *Reader, w *Writer) *ReadWriter
bufio	div-dl-dd-8-a	type Reader
bufio	div-dl-dd-9-a	func NewReader(rd io.Reader) *Reader
bufio	div-dl-dd-10-a	func NewReaderSize(rd io.Reader, size int) *Reader
bufio	div-dl-dd-11-a	func (b *Reader) Buffered() int
bufio	div-dl-dd-12-a	func (b *Reader) Discard(n int) (discarded int, err error)
bufio	div-dl-dd-13-a	func (b *Reader) Peek(n int) ([]byte, error)
bufio	div-dl-dd-14-a	func (b *Reader) Read(p []byte) (n int, err error)
bufio	div-dl-dd-15-a	func (b *Reader) ReadByte() (byte, error)
bufio	div-dl-dd-16-a	func (b *Reader) ReadBytes(delim byte) ([]byte, error)
bufio	div-dl-dd-17-a	func (b *Reader) ReadLine() (line []byte, isPrefix bool, err error)
bufio	div-dl-dd-18-a	func (b *Reader) ReadRune() (r rune, size int, err error)
bufio	div-dl-dd-19-a	func (b *Reader) ReadSlice(delim byte) (line []byte, err error)
bufio	div-dl-dd-20-a	func (b *Reader) ReadString(delim byte) (string, error)
bufio	div-dl-dd-21-a	func (b *Reader) Reset(r io.Reader)
bufio	div-dl-dd-22-a	func (b *Reader) Size() int
bufio	div-dl-dd-23-a	func (b *Reader) UnreadByte() error
bufio	div-dl-dd-24-a	func (b *Reader) UnreadRune() error
bufio	div-dl-dd-25-a	func (b *Reader) WriteTo(w io.Writer) (n int64, err error)
bufio	div-dl-dd-26-a	type Scanner
bufio	div-dl-dd-27-a	func NewScanner(r io.Reader) *Scanner
bufio	div-dl-dd-28-a	func (s *Scanner) Buffer(buf []byte, max int)
bufio	div-dl-dd-29-a	func (s *Scanner) Bytes() []byte
bufio	div-dl-dd-30-a	func (s *Scanner) Err() error
bufio	div-dl-dd-31-a	func (s *Scanner) Scan() bool
bufio	div-dl-dd-32-a	func (s *Scanner) Split(split SplitFunc)
bufio	div-dl-dd-33-a	func (s *Scanner) Text() string
bufio	div-dl-dd-34-a	type SplitFunc
bufio	div-dl-dd-35-a	type Writer
bufio	div-dl-dd-36-a	func NewWriter(w io.Writer) *Writer
bufio	div-dl-dd-37-a	func NewWriterSize(w io.Writer, size int) *Writer
bufio	div-dl-dd-38-a	func (b *Writer) Available() int
bufio	div-dl-dd-39-a	func (b *Writer) Buffered() int
bufio	div-dl-dd-40-a	func (b *Writer) Flush() error
bufio	div-dl-dd-41-a	func (b *Writer) ReadFrom(r io.Reader) (n int64, err error)
bufio	div-dl-dd-42-a	func (b *Writer) Reset(w io.Writer)
bufio	div-dl-dd-43-a	func (b *Writer) Size() int
bufio	div-dl-dd-44-a	func (b *Writer) Write(p []byte) (nn int, err error)
bufio	div-dl-dd-45-a	func (b *Writer) WriteByte(c byte) error
bufio	div-dl-dd-46-a	func (b *Writer) WriteRune(r rune) (size int, err error)
bufio	div-dl-dd-47-a	func (b *Writer) WriteString(s string) (int, error)
bufio	div-id	manual-nav
