パッケージ名	キー	バリュー
golang.org/x/text/width	div-url	https://godoc.org/golang.org/x/text/width/
golang.org/x/text/width	ul-li-0-a	Constants
golang.org/x/text/width	ul-li-1-a	type Kind
golang.org/x/text/width	ul-li-2-a	func (i Kind) String() string
golang.org/x/text/width	ul-li-3-a	type Properties
golang.org/x/text/width	ul-li-4-a	func Lookup(b []byte) (p Properties, size int)
golang.org/x/text/width	ul-li-5-a	func LookupRune(r rune) Properties
golang.org/x/text/width	ul-li-6-a	func LookupString(s string) (p Properties, size int)
golang.org/x/text/width	ul-li-7-a	func (p Properties) Folded() rune
golang.org/x/text/width	ul-li-8-a	func (p Properties) Kind() Kind
golang.org/x/text/width	ul-li-9-a	func (p Properties) Narrow() rune
golang.org/x/text/width	ul-li-10-a	func (p Properties) Wide() rune
golang.org/x/text/width	ul-li-11-a	type Transformer
golang.org/x/text/width	ul-li-12-a	func (t Transformer) Bytes(b []byte) []byte
golang.org/x/text/width	ul-li-13-a	func (t Transformer) Reset()
golang.org/x/text/width	ul-li-14-a	func (t Transformer) Span(src []byte, atEOF bool) (n int, err error)
golang.org/x/text/width	ul-li-15-a	func (t Transformer) String(s string) string
golang.org/x/text/width	ul-li-16-a	func (t Transformer) Transform(dst, src []byte, atEOF bool) (nDst, nSrc int, err error)
golang.org/x/text/width	ul-li-17-a	Transformer (Fold)
golang.org/x/text/width	ul-li-18-a	Transformer (Narrow)
golang.org/x/text/width	ul-li-19-a	Transformer (Widen)
