パッケージ名	キー	バリュー
net/http	div-url	https://golang.org/pkg/net/http/
net/http	div-dl-dd-0-a	Constants
net/http	div-dl-dd-1-a	Variables
net/http	div-dl-dd-2-a	func CanonicalHeaderKey(s string) string
net/http	div-dl-dd-3-a	func DetectContentType(data []byte) string
net/http	div-dl-dd-4-a	func Error(w ResponseWriter, error string, code int)
net/http	div-dl-dd-5-a	func Handle(pattern string, handler Handler)
net/http	div-dl-dd-6-a	func HandleFunc(pattern string, handler func(ResponseWriter, *Request))
net/http	div-dl-dd-7-a	func ListenAndServe(addr string, handler Handler) error
net/http	div-dl-dd-8-a	func ListenAndServeTLS(addr, certFile, keyFile string, handler Handler) error
net/http	div-dl-dd-9-a	func MaxBytesReader(w ResponseWriter, r io.ReadCloser, n int64) io.ReadCloser
net/http	div-dl-dd-10-a	func NotFound(w ResponseWriter, r *Request)
net/http	div-dl-dd-11-a	func ParseHTTPVersion(vers string) (major, minor int, ok bool)
net/http	div-dl-dd-12-a	func ParseTime(text string) (t time.Time, err error)
net/http	div-dl-dd-13-a	func ProxyFromEnvironment(req *Request) (*url.URL, error)
net/http	div-dl-dd-14-a	func ProxyURL(fixedURL *url.URL) func(*Request) (*url.URL, error)
net/http	div-dl-dd-15-a	func Redirect(w ResponseWriter, r *Request, url string, code int)
net/http	div-dl-dd-16-a	func Serve(l net.Listener, handler Handler) error
net/http	div-dl-dd-17-a	func ServeContent(w ResponseWriter, req *Request, name string, modtime time.Time, content io.ReadSeeker)
net/http	div-dl-dd-18-a	func ServeFile(w ResponseWriter, r *Request, name string)
net/http	div-dl-dd-19-a	func ServeTLS(l net.Listener, handler Handler, certFile, keyFile string) error
net/http	div-dl-dd-20-a	func SetCookie(w ResponseWriter, cookie *Cookie)
net/http	div-dl-dd-21-a	func StatusText(code int) string
net/http	div-dl-dd-22-a	type Client
net/http	div-dl-dd-23-a	func (c *Client) CloseIdleConnections()
net/http	div-dl-dd-24-a	func (c *Client) Do(req *Request) (*Response, error)
net/http	div-dl-dd-25-a	func (c *Client) Get(url string) (resp *Response, err error)
net/http	div-dl-dd-26-a	func (c *Client) Head(url string) (resp *Response, err error)
net/http	div-dl-dd-27-a	func (c *Client) Post(url, contentType string, body io.Reader) (resp *Response, err error)
net/http	div-dl-dd-28-a	func (c *Client) PostForm(url string, data url.Values) (resp *Response, err error)
net/http	div-dl-dd-29-a	type CloseNotifier
net/http	div-dl-dd-30-a	type ConnState
net/http	div-dl-dd-31-a	func (c ConnState) String() string
net/http	div-dl-dd-32-a	type Cookie
net/http	div-dl-dd-33-a	func (c *Cookie) String() string
net/http	div-dl-dd-34-a	type CookieJar
net/http	div-dl-dd-35-a	type Dir
net/http	div-dl-dd-36-a	func (d Dir) Open(name string) (File, error)
net/http	div-dl-dd-37-a	type File
net/http	div-dl-dd-38-a	type FileSystem
net/http	div-dl-dd-39-a	type Flusher
net/http	div-dl-dd-40-a	type Handler
net/http	div-dl-dd-41-a	func FileServer(root FileSystem) Handler
net/http	div-dl-dd-42-a	func NotFoundHandler() Handler
net/http	div-dl-dd-43-a	func RedirectHandler(url string, code int) Handler
net/http	div-dl-dd-44-a	func StripPrefix(prefix string, h Handler) Handler
